NAME                                - Skill: 9    Skill: 12   Skill: 15   Skill: 17   Skill: 20   
Dai Lung Streetmaster               - HS-6.0    , HS-3.7    , HS-3.3    , HS-3.2    , HS-3.0    , 
Millitech Crusher Shotgun Pistol    - HS-3.1    , HS-1.9    , HS-1.6    , HS-1.6    , HS-1.5    , 
Nomad Double Barrel 12              - HS-2.5    , HS-1.4    , HS-1.2    , HS-1.1    , HS-1.1    , 
Millitech Pump Shotgun 10           - HS-1.4    , HS-1.1    , HS-1.1    , HS-1.0    , HS-1.0    , 
Federated Arms City Reaper          - HS-1.5    , HS-1.1    , HS-1.1    , HS-1.1    , HS-1.0    , 
Millitech Stakeout 10               - HS-1.7    , HS-1.1    , HS-1.1    , HS-1.1    , HS-1.0    , 
Arasaka Rapid Assault 12            - HS-2.0    , HS-1.2    , tk-1.1    , tk-1.1    , tk-1.0    , 
Nomad RPK LMG                       - tk-2.2    , tk-1.3    , tk-1.1    , tk-1.1    , tk-1.0    , 
Millitech Ares LMG                  - tk-2.6    , tk-1.4    , tk-1.1    , tk-1.1    , tk-1.1    , 
Millitech Odin LMG                  - tk-1.7    , tk-1.2    , tk-1.1    , tk-1.1    , tk-1.0    , 
Towa MA70 Defender LMG              - tk-1.2    , tk-1.1    , tk-1.1    , tk-1.0    , tk-1.0    , 
*RUS* DP-27 "Dinnerplate" LMG       - tk-1.9    , tk-1.2    , HS-1.1    , tk-1.1    , tk-1.0    , 
Millitech M249 LMG                  - tk-1.6    , tk-1.1    , tk-1.1    , tk-1.1    , tk-1.0    , 
